imagefile_name,Amount,Kcals,Kcal/g,Category,EDgroup,Note
animal_crackers,100g,446 kcal,4.46,snack,HighED,
apple_pie,100g,354 kcal,3.54,desert,HighED,
apples,100g,54 kcal,0.54,fruit,LowED,
asparagus,100g,29 kcal,0.29,veg,LowED,
bacon,100g,600 kcal,6,meal,HighED,
bagel_bites,100g,227 kcal,2.27,snack,HighED,
bagel_with_butter,100g,497.5kcal,4.975,meal,HighED,
banana_2,100g,74.91 kcal,0.7491,fruit,LowED,
biscuits,100g,378 kcal,3.78,meal,HighED,
blackberries,100g,43 kcal,0.43,fruit,LowED,
blueberries,100g,51 kcal,0.51,fruit,LowED,
blueberry_muffins,100g,391 kcal,3.91,snack,HighED,
broccoli,100g,35 kacl,0.35,veg,LowED,
brownie_bites,100g,429 kcal,4.29,desert,HighED,
brownies,100g,421 kcal,4.21,desert,HighED,
cake,100g,373 kcal,3.73,desert,HighED,
cantelope,100g,37 kcal,0.37,fruit,LowED,
carrots,100g,38 kcal,0.38,veg,LowED,
cauliflower,100g,29 kcal,0.29,veg,LowED,
celery,100g,14 kcal,0.14,veg,LowED,
cheese_puffs,100g,607 kcal,6.07,snack,HighED,
chicken,100g,195 kcal,1.95,meal,HighED,
chicken_fingers,100g,289 kcal,2.89,meal,HighED,
chocolate_chip_cookies,100g,429 kcal,4.29,desert,HighED,
cinnabuns,100g,357 kcal,3.57,desert,HighED,
corn,100g,48 kcal,0.48,veg,LowED,
cucumbers,100g,12 kcal,0.12,veg,LowED,
donuts,100g,324 kcal,3.24,snack,HighED,
doritos,100g,464 kcal,4.64,snack,HighED,
eggs,100g,143 kcal,1.43,meal,HighED,
french_fries,100g,155 kcal,1.55,meal,HighED,
frozen_fruit_pop,100g,81 kcal,0.81,desert,LowED,
garlic_bread,100g,298 kcal,2.98,meal,HighED,
goldfish,100g,457 kcal,4.57,snack,HighED,
grapes,100g,67 kcal,0.67,fruit,LowED,
green_pepper,100g,20 kcal,0.2,fruit,LowED,
greenbeans,100g,29 kcal,0.29,veg,LowED,
gummy_bears,100g,293 kcal,2.93,desert,HighED,
ham,100g,89 kcal,0.89,meal,LowED,
hamburger,100g,186 kcal,1.86,meal,HighED,
kiwi,100g,61 kcal,0.61,fruit,LowED,
mac_and_cheese,100g,110 kcal,1.35,meal,HighED,
mixed_vegetables,100g,67 kcal,0.67,veg,LowED,
mushrooms,100g,22 kcal,0.22,veg,LowED,
nachos,100g,343 kcal,3.43,snack,HighED,
olives,100g,105 kcal,1.05,veg,HighED,
oranges,100g,49 kcal,0.49,fruit,LowED,
oreos,100g,464 kcal,4.64,desert,HighED,
pasta_w_cream,100g,251.5 kcal,2.515,meal,HighED,
pb_sandwiches,100g,513 kcal,5.13,snack,HighED,these are crackers
peaches,100g,238 kcal,2.38,fruit,HighED,
peanuts,100g,656 kcal,6.56,snack,HighED,
peas,100g,48 kcal,0.48,veg,LowED,
pickles,100g,11 kcal,0.11,veg,LowED,
pineapple,100g,57 kcal,0.57,fruit,LowED,
pizza_rolls,100g,345 kcal,3.45,meal,HighED,
popcorn,100g,535 kcal,5.35,snack,HighED,
pork,100g,125 kcal,1.25,meal,HighED,
potato_chips,100g,532 kcal,5.32,snack,HighED,
pretzels,100g,381 kcal,3.81,snack,HighED,
raisins,100g,300 kcal,3,snack,HighED,
red_peppers,100g,25 kcal,0.25,fruit,LowED,
rice,100g,171 kcal,1.71,meal,HighED,
rice_krispies,100g,381 kcal,3.81,snack,HighED,
ritz_bitz,100g,492 kcal,4.92,snack,HighED,
salad,100g,18 kcal,0.18,veg,LowED,
skittles,100g,405 kcal,4.05,desert,HighED,
spinach,100g,24 kcal,0.24,veg,LowED,
starbursts,100g,408 kcal,4.08,desert,HighED,
strawberries,100g,36 kcal,0.36,fruit,LowED,
tomatoes,100g,14 kcal,0.14,fruit,LowED,
tuna,100g,59.83 kcal,0.5983,meal,LowED,
turkey,100g,125 kcal,1.25,meal,HighED,
twizzlers,100g,338 kcal,3.38,desert,HighED,
waffle,100g,310 kcal,3.1,meal,HighED,
watermelon,100g,31 kcal,0.31,fruit,LowED,